                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79894,                 2.8901,                 1.2781,                0.97758,                0.12392,                0.68098,                0.54419,                0.61232,                 3.4962,                 1.1373,             0.00032456,             0.00032456,             0.00032456
                      2,                0.79045,                 1.7174,                  1.277,                0.90965,                0.76261,                0.88345,                0.67362,                 0.7124,                 2.3977,                 1.3591,             0.00062533,             0.00062533,             0.00062533
                      3,                0.77777,                  1.465,                 1.2273,                0.67228,                0.75759,                0.84657,                0.64536,                 0.7931,                 2.5341,                 1.3447,              0.0008931,              0.0008931,              0.0008931
                      4,                0.78587,                 1.3576,                 1.2166,                0.87087,                0.87224,                0.91211,                0.71901,                0.73962,                 1.7434,                 1.2304,              0.0008515,              0.0008515,              0.0008515
                      5,                0.78431,                 1.2511,                 1.2088,                 0.9408,                0.92953,                0.96004,                0.75941,                0.69528,                 1.5861,                 1.2158,               0.000802,               0.000802,               0.000802
                      6,                0.73874,                 1.1308,                  1.186,                0.95626,                0.92074,                0.97605,                0.78947,                0.64589,                  1.479,                  1.157,              0.0007525,              0.0007525,              0.0007525
                      7,                 0.7139,                 1.0631,                 1.1602,                0.89594,                0.93536,                0.98119,                0.79474,                0.62873,                 1.3786,                 1.1451,               0.000703,               0.000703,               0.000703
                      8,                0.70277,                0.95034,                 1.1605,                0.98481,                0.96639,                0.98659,                 0.8173,                0.62794,                 1.1641,                 1.1405,              0.0006535,              0.0006535,              0.0006535
                      9,                0.68135,                0.89714,                 1.1335,                0.95096,                0.92357,                0.97443,                0.78146,                 0.6485,                 1.1325,                 1.1439,               0.000604,               0.000604,               0.000604
                     10,                0.69584,                0.87008,                 1.1543,                0.96842,                0.96561,                0.98365,                0.83072,                0.58477,                  1.018,                  1.079,              0.0005545,              0.0005545,              0.0005545
                     11,                0.57064,                 1.0263,                 1.1426,                0.97857,                0.96314,                0.97863,                0.82063,                0.55797,                 1.0737,                 1.0463,               0.000505,               0.000505,               0.000505
                     12,                0.51805,                0.89148,                 1.0724,                0.98037,                0.96913,                0.98673,                0.84831,                0.53704,                0.89736,                 1.0483,              0.0004555,              0.0004555,              0.0004555
                     13,                0.51861,                0.81412,                 1.0878,                0.97877,                0.95935,                0.98674,                0.84473,                0.53772,                0.80839,                 1.0422,               0.000406,               0.000406,               0.000406
                     14,                0.50851,                0.77402,                 1.0752,                0.98787,                0.98244,                0.98941,                0.84906,                0.52991,                0.75323,                 1.0446,              0.0003565,              0.0003565,              0.0003565
                     15,                0.48958,                  0.716,                 1.0544,                0.96835,                0.97572,                0.98862,                0.84409,                0.51424,                  0.721,                 1.0093,               0.000307,               0.000307,               0.000307
                     16,                0.46162,                0.66979,                  1.016,                0.98203,                0.97618,                0.98785,                0.86408,                0.48328,                0.69079,                0.97808,              0.0002575,              0.0002575,              0.0002575
                     17,                0.42205,                0.64125,                 1.0132,                0.97241,                0.93438,                0.97826,                0.85824,                0.46465,                0.66084,                 0.9513,               0.000208,               0.000208,               0.000208
                     18,                 0.4298,                0.61581,                 1.0053,                0.98722,                0.97972,                 0.9868,                0.86609,                 0.4643,                0.64555,                0.95892,              0.0001585,              0.0001585,              0.0001585
                     19,                0.40654,                0.59588,                0.97902,                0.97614,                0.98873,                0.98768,                0.88215,                0.43141,                0.60171,                0.93181,               0.000109,               0.000109,               0.000109
                     20,                0.40085,                0.57065,                0.98122,                  0.981,                0.98955,                0.98897,                0.87973,                0.42929,                0.60818,                0.93017,               5.95e-05,               5.95e-05,               5.95e-05
